#Counts(s),#Real temp,#Real temp,#Errors,#delay(50000)
23150,25.5,298.65,1,
23200,25.5,298.65,1,
23250,25.44,298.59,1,
23300,25.44,298.59,1,
23350,25.44,298.59,1,
23400,25.44,298.59,1,
23450,25.37,298.52,1,
23500,25.37,298.52,1,
23550,25.37,298.52,1,
23600,25.37,298.52,1,
23650,25.31,298.46,1,
23700,25.37,298.52,1,
23750,25.31,298.46,1,
23800,25.31,298.46,1,
23850,25.31,298.46,1,
23900,25.25,298.4,1,
23950,25.31,298.46,1,
24000,25.31,298.46,1,
24050,25.25,298.4,1,
24100,25.25,298.4,1,
24150,25.25,298.4,1,
24200,25.25,298.4,1,
24250,25.25,298.4,1,
24300,25.25,298.4,1,
24350,25.25,298.4,1,
24400,25.19,298.34,1,
24450,25.19,298.34,1,
24500,25.19,298.34,1,
24550,25.19,298.34,1,
24600,25.19,298.34,1,
24650,25.19,298.34,1,
24700,25.19,298.34,1,
24750,25.12,298.27,1,
24800,25.12,298.27,1,
24850,25.12,298.27,1,
24900,25.12,298.27,1,
24950,25.12,298.27,1,
25000,25.12,298.27,1,
25050,25.06,298.21,1,
25100,25.06,298.21,1,
25150,25.06,298.21,1,
25200,25.06,298.21,1,
25250,25,298.15,1,
25300,25,298.15,1,
25350,25,298.15,1,
25400,25,298.15,1,
25450,25,298.15,1,
25500,25,298.15,1,
25550,25,298.15,1,
25600,24.94,298.09,1,
25650,24.94,298.09,1,
25700,25,298.15,1,
25750,24.94,298.09,1,
25800,24.94,298.09,1,
25850,24.94,298.09,1,
25900,24.94,298.09,1,
25950,24.94,298.09,1,
26000,24.87,298.02,1,
26050,24.87,298.02,1,
26100,24.87,298.02,1,
26150,24.87,298.02,1,
26200,24.87,298.02,1,
26250,24.87,298.02,1,
26300,24.87,298.02,1,
26350,24.81,297.96,1,
26400,24.81,297.96,1,
26450,24.81,297.96,1,
26500,24.81,297.96,1,
26550,24.81,297.96,1,
26600,24.81,297.96,1,
26650,24.75,297.9,1,
26700,24.75,297.9,1,
26750,24.75,297.9,1,
26800,24.75,297.9,1,
26850,24.75,297.9,1,
26900,24.75,297.9,1,
26950,24.75,297.9,1,
27000,24.75,297.9,1,
27050,24.69,297.84,1,
27100,24.69,297.84,1,
27150,24.69,297.84,1,
27200,24.69,297.84,1,
27250,24.69,297.84,1,
27300,24.69,297.84,1,
27350,24.69,297.84,1,
27400,24.69,297.84,1,
27450,24.62,297.77,1,
27500,24.62,297.77,1,
27550,24.62,297.77,1,
27600,24.62,297.77,1,
27650,24.62,297.77,1,
27700,24.62,297.77,1,
27750,24.62,297.77,1,
27800,24.62,297.77,1,
27850,24.56,297.71,1,
27900,24.56,297.71,1,
27950,24.56,297.71,1,
28000,24.56,297.71,1,
28050,24.56,297.71,1,
28100,24.56,297.71,1,
28150,24.5,297.65,1,
28200,24.56,297.71,1,
28250,24.5,297.65,1,
28300,24.5,297.65,1,
28350,24.5,297.65,1,
28400,24.5,297.65,1,
28450,24.5,297.65,1,
28500,24.5,297.65,1,
28550,24.5,297.65,1,
28600,24.5,297.65,1,
28650,24.5,297.65,1,
28700,24.5,297.65,1,
28750,24.5,297.65,1,
28800,24.5,297.65,1,
28850,24.5,297.65,1,
28900,24.44,297.59,1,
28950,24.44,297.59,1,
29000,24.44,297.59,1,
29050,24.44,297.59,1,
29100,24.44,297.59,1,
