#Counts,#Real temp,#Real temp,#Errors
22050,47.38,320.38,1
22100,47.38,320.38,1
22150,47.31,320.31,1
22200,47.31,320.31,1
22250,47.25,320.25,1
22300,47.25,320.25,1
22350,47.19,320.19,1
22400,47.19,320.19,1
22450,47.19,320.19,1
22500,47.13,320.13,1
22550,47.13,320.13,1
22600,47.06,320.06,1
22650,47,320,1
22700,47,320,1
22750,46.94,319.94,1
22800,46.94,319.94,1
22850,46.88,319.88,1
22900,46.88,319.88,1
22950,46.81,319.81,1
23000,46.81,319.81,1
23050,46.75,319.75,1
23100,46.75,319.75,1
23150,46.69,319.69,1
23200,46.69,319.69,1
23250,46.63,319.63,1
23300,46.56,319.56,1
23350,46.56,319.56,1
23400,46.5,319.5,1
23450,46.5,319.5,1
23500,46.44,319.44,1
23550,46.44,319.44,1
23600,46.38,319.38,1
23650,46.38,319.38,1
23700,46.31,319.31,1
23750,46.25,319.25,1
23800,46.25,319.25,1
23850,46.25,319.25,1
23900,46.19,319.19,1
23950,46.19,319.19,1
24000,46.13,319.13,1
24050,46.13,319.13,1
24100,46.06,319.06,1
24150,46.06,319.06,1
24200,46,319,1
24250,46,319,1
24300,46,319,1
24350,45.94,318.94,1
24400,45.88,318.88,1
24450,45.88,318.88,1
24500,45.88,318.88,1
24550,45.81,318.81,1
24600,45.81,318.81,1
24650,45.75,318.75,1
24700,45.69,318.69,1
24750,45.63,318.63,1
24800,45.63,318.63,1
24850,45.56,318.56,1
24900,45.56,318.56,1
24950,45.56,318.56,1
25000,45.5,318.5,1
25050,45.5,318.5,1
25100,45.5,318.5,1
25150,45.44,318.44,1
25200,45.44,318.44,1
25250,45.38,318.38,1
25300,45.38,318.38,1
25350,45.38,318.38,1
25400,45.31,318.31,1
25450,45.25,318.25,1
25500,45.25,318.25,1
25550,45.25,318.25,1
25600,45.19,318.19,1
25650,45.13,318.13,1
25700,45.13,318.13,1
25750,45.06,318.06,1
25800,45.06,318.06,1
25850,45,318,1
25900,45,318,1
25950,44.94,317.94,1
26000,44.88,317.88,1
26050,44.88,317.88,1
26100,44.88,317.88,1
26150,44.81,317.81,1
26200,44.81,317.81,1
26250,44.75,317.75,1
26300,44.75,317.75,1
26350,44.69,317.69,1
26400,44.69,317.69,1
26450,44.63,317.63,1
26500,44.63,317.63,1
26550,44.56,317.56,1
26600,44.56,317.56,1
26650,44.5,317.5,1
26700,44.5,317.5,1
26750,44.5,317.5,1
26800,44.44,317.44,1
26850,44.38,317.38,1
26900,44.38,317.38,1
26950,44.38,317.38,1
27000,44.31,317.31,1
27050,44.25,317.25,1
27100,44.25,317.25,1
27150,44.25,317.25,1
27200,44.25,317.25,1
27250,44.19,317.19,1
27300,44.19,317.19,1
27350,44.19,317.19,1
27400,44.13,317.13,1
27450,44.13,317.13,1
27500,44.13,317.13,1
27550,44.06,317.06,1
27600,44.06,317.06,1
27650,44,317,1
27700,44,317,1
27750,43.94,316.94,1
27800,43.94,316.94,1
27850,43.88,316.88,1
27900,43.88,316.88,1
27950,43.81,316.81,1
28000,43.81,316.81,1
28050,43.75,316.75,1
28100,43.75,316.75,1
28150,43.75,316.75,1
28200,43.69,316.69,1
28250,43.69,316.69,1
28300,43.63,316.63,1
28350,43.63,316.63,1
28400,43.63,316.63,1
28450,43.56,316.56,1
28500,43.56,316.56,1
28550,43.5,316.5,1
28600,43.5,316.5,1
28650,43.44,316.44,1
28700,43.44,316.44,1
28750,43.38,316.38,1
28800,43.38,316.38,1
28850,43.38,316.38,1
28900,43.31,316.31,1
28950,43.31,316.31,1
29000,43.25,316.25,1
29050,43.25,316.25,1
29100,43.25,316.25,1
29150,43.19,316.19,1
29200,43.13,316.13,1
29250,43.13,316.13,1
29300,43.06,316.06,1
29350,43.06,316.06,1
29400,43,316,1
29450,43,316,1
29500,43,316,1
29550,42.94,315.94,1
29600,42.94,315.94,1
29650,42.94,315.94,1
29700,42.88,315.88,1
29750,42.88,315.88,1
29800,42.81,315.81,1
29850,42.81,315.81,1
29900,42.81,315.81,1
29950,42.75,315.75,1
30000,42.75,315.75,1
30050,42.75,315.75,1
30100,42.69,315.69,1
30150,42.69,315.69,1
30200,42.63,315.63,1
30250,42.63,315.63,1
30300,42.63,315.63,1
30350,42.56,315.56,1
30400,42.56,315.56,1
30450,42.56,315.56,1
30500,42.5,315.5,1
30550,42.5,315.5,1
30600,42.5,315.5,1
30650,42.44,315.44,1
30700,42.44,315.44,1
30750,42.38,315.38,1
30800,42.38,315.38,1
30850,42.31,315.31,1
30900,42.31,315.31,1
30950,42.31,315.31,1
31000,42.25,315.25,1
31050,42.25,315.25,1
31100,42.25,315.25,1
31150,42.19,315.19,1
31200,42.19,315.19,1
31250,42.19,315.19,1
31300,42.13,315.13,1
31350,42.13,315.13,1
31400,42.06,315.06,1
31450,42.06,315.06,1
31500,42.06,315.06,1
31550,42,315,1
31600,42,315,1
31650,42,315,1
31700,41.94,314.94,1
31750,41.94,314.94,1
31800,41.94,314.94,1
31850,41.88,314.88,1
31900,41.88,314.88,1
31950,41.81,314.81,1
32000,41.81,314.81,1
32050,41.81,314.81,1
32100,41.81,314.81,1
32150,41.75,314.75,1
32200,41.75,314.75,1
32250,41.69,314.69,1
32300,41.69,314.69,1
32350,41.69,314.69,1
32400,41.63,314.63,1
32450,41.63,314.63,1
32500,41.63,314.63,1
32550,41.56,314.56,1
32600,41.56,314.56,1
32650,41.56,314.56,1
32700,41.5,314.5,1
32750,41.5,314.5,1
32800,41.44,314.44,1
32850,41.44,314.44,1
32900,41.38,314.38,1
32950,41.38,314.38,1
33000,41.38,314.38,1
33050,41.31,314.31,1
33100,41.31,314.31,1
33150,41.31,314.31,1
33200,41.25,314.25,1
33250,41.25,314.25,1
33300,41.19,314.19,1
33350,41.19,314.19,1
33400,41.19,314.19,1
33450,41.19,314.19,1
33500,41.13,314.13,1
33550,41.13,314.13,1
33600,41.13,314.13,1
33650,41.06,314.06,1
33700,41.06,314.06,1
33750,41.06,314.06,1
33800,41,314,1
33850,41,314,1
33900,40.94,313.94,1
33950,40.94,313.94,1
34000,40.94,313.94,1
34050,40.88,313.88,1
34100,40.88,313.88,1
34150,40.88,313.88,1
34200,40.81,313.81,1
34250,40.81,313.81,1
34300,40.81,313.81,1
34350,40.75,313.75,1
34400,40.75,313.75,1
34450,40.69,313.69,1
34500,40.69,313.69,1
34550,40.69,313.69,1
34600,40.69,313.69,1
34650,40.63,313.63,1
34700,40.63,313.63,1
34750,40.56,313.56,1
34800,40.56,313.56,1
34850,40.56,313.56,1
34900,40.5,313.5,1
34950,40.5,313.5,1
35000,40.5,313.5,1
35050,40.44,313.44,1
35100,40.44,313.44,1
35150,40.44,313.44,1
35200,40.44,313.44,1
35250,40.44,313.44,1
35300,40.38,313.38,1
35350,40.31,313.31,1
35400,40.31,313.31,1
35450,40.31,313.31,1
35500,40.31,313.31,1
35550,40.25,313.25,1
35600,40.25,313.25,1
35650,40.25,313.25,1
35700,40.19,313.19,1
35750,40.19,313.19,1
35800,40.19,313.19,1
35850,40.13,313.13,1
35900,40.13,313.13,1
35950,40.13,313.13,1
36000,40.06,313.06,1
36050,40.06,313.06,1
36100,40.06,313.06,1
36150,40.06,313.06,1
36200,40,313,1
36250,40,313,1
36300,40,313,1
36350,39.94,312.94,1
36400,39.94,312.94,1
36450,39.94,312.94,1
36500,39.88,312.88,1
36550,39.88,312.88,1
36600,39.88,312.88,1
36650,39.81,312.81,1
36700,39.81,312.81,1
36750,39.81,312.81,1
36800,39.75,312.75,1
36850,39.75,312.75,1
36900,39.75,312.75,1
36950,39.69,312.69,1
37000,39.69,312.69,1
37050,39.69,312.69,1
37100,39.63,312.63,1
37150,39.63,312.63,1
37200,39.56,312.56,1
37250,39.56,312.56,1
37300,39.56,312.56,1
37350,39.56,312.56,1
37400,39.5,312.5,1
37450,39.5,312.5,1
37500,39.5,312.5,1
37550,39.44,312.44,1
37600,39.44,312.44,1
37650,39.38,312.38,1
37700,39.38,312.38,1
37750,39.38,312.38,1
37800,39.38,312.38,1
37850,39.31,312.31,1
37900,39.31,312.31,1
37950,39.31,312.31,1
38000,39.31,312.31,1
38050,39.25,312.25,1
38100,39.25,312.25,1
38150,39.25,312.25,1
38200,39.19,312.19,1
38250,39.19,312.19,1
38300,39.13,312.13,1
38350,39.19,312.19,1
38400,39.13,312.13,1
38450,39.13,312.13,1
38500,39.13,312.13,1
38550,39.06,312.06,1
38600,39.06,312.06,1
38650,39.06,312.06,1
38700,39.06,312.06,1
38750,39.06,312.06,1
38800,39,312,1
38850,39,312,1
38900,38.94,311.94,1
38950,38.94,311.94,1
39000,38.94,311.94,1
39050,38.88,311.88,1
39100,38.88,311.88,1
39150,38.88,311.88,1
39200,38.88,311.88,1
39250,38.81,311.81,1
39300,38.81,311.81,1
39350,38.81,311.81,1
39400,38.75,311.75,1
39450,38.75,311.75,1
39500,38.69,311.69,1
39550,38.69,311.69,1
39600,38.69,311.69,1
39650,38.69,311.69,1
39700,38.63,311.63,1
39750,38.63,311.63,1
39800,38.63,311.63,1
39850,38.63,311.63,1
39900,38.63,311.63,1
39950,38.56,311.56,1
40000,38.56,311.56,1
40050,38.56,311.56,1
40100,38.56,311.56,1
40150,38.5,311.5,1
40200,38.5,311.5,1
40250,38.5,311.5,1
40300,38.44,311.44,1
40350,38.44,311.44,1
40400,38.44,311.44,1
40450,38.44,311.44,1
40500,38.38,311.38,1
40550,38.38,311.38,1
40600,38.31,311.31,1
40650,38.31,311.31,1
40700,38.31,311.31,1
40750,38.31,311.31,1
40800,38.25,311.25,1
40850,38.25,311.25,1
40900,38.25,311.25,1
40950,38.19,311.19,1
41000,38.19,311.19,1
41050,38.19,311.19,1
41100,38.19,311.19,1
41150,38.19,311.19,1
41200,38.13,311.13,1
41250,38.13,311.13,1
41300,38.13,311.13,1
41350,38.06,311.06,1
41400,38.06,311.06,1
41450,38.06,311.06,1
41500,38.06,311.06,1
41550,38,311,1
41600,38,311,1
41650,38,311,1
41700,37.94,310.94,1
41750,37.94,310.94,1
41800,37.94,310.94,1
41850,37.94,310.94,1
41900,37.94,310.94,1
41950,37.88,310.88,1
42000,37.88,310.88,1
42050,37.88,310.88,1
42100,37.88,310.88,1
42150,37.81,310.81,1
42200,37.81,310.81,1
42250,37.81,310.81,1
42300,37.81,310.81,1
42350,37.75,310.75,1
42400,37.69,310.69,1
42450,37.69,310.69,1
42500,37.69,310.69,1
42550,37.69,310.69,1
42600,37.63,310.63,1
42650,37.63,310.63,1
42700,37.63,310.63,1
42750,37.56,310.56,1
42800,37.56,310.56,1
42850,37.56,310.56,1
42900,37.5,310.5,1
42950,37.5,310.5,1
43000,37.5,310.5,1
43050,37.5,310.5,1
43100,37.44,310.44,1
43150,37.44,310.44,1
43200,37.44,310.44,1
43250,37.38,310.38,1
43300,37.44,310.44,1
43350,37.38,310.38,1
43400,37.38,310.38,1
43450,37.38,310.38,1
43500,37.31,310.31,1
43550,37.31,310.31,1
43600,37.31,310.31,1
43650,37.31,310.31,1
43700,37.25,310.25,1
43750,37.25,310.25,1
43800,37.25,310.25,1
43850,37.25,310.25,1
43900,37.25,310.25,1
43950,37.25,310.25,1
44000,37.19,310.19,1
44050,37.19,310.19,1
44100,37.19,310.19,1
44150,37.19,310.19,1
44200,37.13,310.13,1
44250,37.13,310.13,1
44300,37.13,310.13,1
44350,37.13,310.13,1
44400,37.06,310.06,1
44450,37.13,310.13,1
44500,37.06,310.06,1
44550,37.06,310.06,1
44600,37.06,310.06,1
44650,37,310,1
44700,37,310,1
44750,37,310,1
44800,37,310,1
44850,37,310,1
44900,36.94,309.94,1
44950,36.94,309.94,1
45000,36.88,309.88,1
45050,36.88,309.88,1
45100,36.88,309.88,1
45150,36.88,309.88,1
45200,36.88,309.88,1
45250,36.81,309.81,1
45300,36.81,309.81,1
45350,36.81,309.81,1
45400,36.75,309.75,1
45450,36.75,309.75,1
45500,36.75,309.75,1
45550,36.75,309.75,1
45600,36.75,309.75,1
45650,36.69,309.69,1
45700,36.69,309.69,1
45750,36.69,309.69,1
45800,36.69,309.69,1
45850,36.63,309.63,1
45900,36.63,309.63,1
45950,36.63,309.63,1
46000,36.63,309.63,1
46050,36.56,309.56,1
46100,36.56,309.56,1
46150,36.56,309.56,1
46200,36.56,309.56,1
46250,36.56,309.56,1
46300,36.56,309.56,1
46350,36.5,309.5,1
46400,36.5,309.5,1
46450,36.5,309.5,1
46500,36.5,309.5,1
46550,36.5,309.5,1
46600,36.5,309.5,1
46650,36.44,309.44,1
46700,36.44,309.44,1
46750,36.44,309.44,1
46800,36.38,309.38,1
46850,36.38,309.38,1
46900,36.38,309.38,1
46950,36.31,309.31,1
47000,36.31,309.31,1
47050,36.31,309.31,1
47100,36.31,309.31,1
47150,36.31,309.31,1
47200,36.25,309.25,1
47250,36.25,309.25,1
47300,36.25,309.25,1
47350,36.25,309.25,1
47400,36.19,309.19,1
47450,36.19,309.19,1
47500,36.19,309.19,1
47550,36.19,309.19,1
47600,36.19,309.19,1
47650,36.13,309.13,1
47700,36.13,309.13,1
47750,36.13,309.13,1
47800,36.13,309.13,1
47850,36.13,309.13,1
47900,36.13,309.13,1
47950,36.06,309.06,1
48000,36.06,309.06,1
48050,36.06,309.06,1
48100,36.06,309.06,1
48150,36.06,309.06,1
48200,36,309,1
48250,36,309,1
48300,36,309,1
48350,36,309,1
48400,35.94,308.94,1
48450,35.94,308.94,1
48500,35.94,308.94,1
48550,35.94,308.94,1
48600,35.88,308.88,1
48650,35.88,308.88,1
48700,35.88,308.88,1
48750,35.88,308.88,1
48800,35.81,308.81,1
48850,35.81,308.81,1
48900,35.81,308.81,1
48950,35.81,308.81,1
49000,35.81,308.81,1
49050,35.75,308.75,1
49100,35.75,308.75,1
49150,35.75,308.75,1
49200,35.69,308.69,1
49250,35.69,308.69,1
49300,35.69,308.69,1
49350,35.69,308.69,1
49400,35.69,308.69,1
49450,35.69,308.69,1
49500,35.63,308.63,1
49550,35.63,308.63,1
49600,35.63,308.63,1
49650,35.63,308.63,1
49700,35.56,308.56,1
49750,35.56,308.56,1
49800,35.56,308.56,1
49850,35.56,308.56,1
49900,35.56,308.56,1
49950,35.56,308.56,1
50000,35.56,308.56,1
50050,35.5,308.5,1
50100,35.44,308.44,1
50150,35.44,308.44,1
50200,35.44,308.44,1
50250,35.44,308.44,1
50300,35.44,308.44,1
50350,35.44,308.44,1
50400,35.38,308.38,1
50450,35.44,308.44,1
50500,35.38,308.38,1
50550,35.38,308.38,1
50600,35.31,308.31,1
50650,35.31,308.31,1
50700,35.38,308.38,1
50750,35.31,308.31,1
50800,35.31,308.31,1
50850,35.31,308.31,1
50900,35.25,308.25,1
50950,35.31,308.31,1
51000,35.25,308.25,1
51050,35.25,308.25,1
51100,35.25,308.25,1
51150,35.25,308.25,1
51200,35.25,308.25,1
51250,35.19,308.19,1
51300,35.19,308.19,1
51350,35.19,308.19,1
51400,35.19,308.19,1
51450,35.13,308.13,1
51500,35.13,308.13,1
51550,35.13,308.13,1
51600,35.13,308.13,1
51650,35.13,308.13,1
51700,35.06,308.06,1
51750,35.06,308.06,1
51800,35.06,308.06,1
51850,35.06,308.06,1
51900,35,308,1
51950,35,308,1
52000,35,308,1
52050,35,308,1
52100,35,308,1
52150,35,308,1
52200,34.94,307.94,1
52250,34.94,307.94,1
52300,34.94,307.94,1
52350,34.88,307.88,1
52400,34.94,307.94,1
52450,34.88,307.88,1
52500,34.88,307.88,1
52550,34.88,307.88,1
52600,34.88,307.88,1
52650,34.88,307.88,1
52700,34.81,307.81,1
52750,34.81,307.81,1
52800,34.81,307.81,1
52850,34.81,307.81,1
52900,34.81,307.81,1
52950,34.81,307.81,1
53000,34.75,307.75,1
53050,34.75,307.75,1
53100,34.75,307.75,1
53150,34.75,307.75,1
53200,34.69,307.69,1
53250,34.69,307.69,1
53300,34.69,307.69,1
53350,34.69,307.69,1
53400,34.69,307.69,1
53450,34.69,307.69,1
53500,34.63,307.63,1
53550,34.63,307.63,1
53600,34.63,307.63,1
53650,34.63,307.63,1
53700,34.63,307.63,1
53750,34.63,307.63,1
53800,34.56,307.56,1
53850,34.56,307.56,1
53900,34.56,307.56,1
53950,34.5,307.5,1
54000,34.56,307.56,1
54050,34.5,307.5,1
54100,34.5,307.5,1
54150,34.5,307.5,1
54200,34.5,307.5,1
54250,34.5,307.5,1
54300,34.44,307.44,1
54350,34.44,307.44,1
54400,34.44,307.44,1
54450,34.44,307.44,1
54500,34.44,307.44,1
54550,34.44,307.44,1
54600,34.44,307.44,1
54650,34.38,307.38,1
